run_id,status,succeeded,had_collision_event,valid_no_collision_and_success,time_s,planned_len_m,driven_len_m,driven_over_planned,n_plan_points,n_odom_points
1,5,0,1,0,,,,,,
2,5,0,1,0,,,,,,
3,4,1,0,1,23.970870616,4.5217817127186635,4.749208316320969,1.0502957944569968,180,705
4,5,0,1,0,,,,,,
5,5,0,1,0,,,,,,
6,5,0,1,0,,,,,,
7,4,1,0,1,4.459033573,1.1176663742502777,0.8506412218813142,0.76108688735663,36,132
8,4,1,0,1,13.006018415,2.5401667959385548,2.593969362931737,1.0211807221002993,101,383
9,5,0,1,0,,,,,,
10,4,1,0,1,17.194427149,3.027500838778839,3.40781020142285,1.1256182517846671,120,506
11,4,1,0,1,18.25469789,3.184202362269165,3.6464887563657484,1.1451812232709806,125,537
12,4,1,0,1,12.051677844,2.006911397475481,2.401423365873862,1.1965766744334816,79,355
13,4,1,0,1,11.677624982,2.358236304600427,2.3262457488423975,0.9864345419092979,93,344
14,4,1,0,1,40.444542378,2.1492142803109298,8.076524855174927,3.757896515561252,85,1189
15,5,0,1,0,,,,,,
