RUN_ID;success/collision;planned_path;traveled_path;time_taken;path_efficiency;time_effiency
1;success;0.7688600756680831;0.9113921722964977;13.7335282990025;0.8436105762580046;0.06636256557338542
2;collision;;;;;
3;collision;;;;;
4;success;3.698527234104156;4.122019725768604;34.741649093997694;0.8972609255077054;0.1186477853891157
5;collision;;;;;
6;collision;;;;;
7;success;2.1893430270381504;2.6053426049555393;19.672073901001568;0.8403282634974267;0.13243863448595997
8;success;1.8231060907842027;1.9790334442930164;15.602966021000611;0.9212103494468651;0.12683700276148532
9;success;2.9550419477330294;2.6792142317468874;14.863535804001003;1.1029509744751909;0.18025416476109876
10;collision;;;;;
11;success;0.8913259575049781;0.8969147506908031;9.20265729199673;0.9937688691355333;0.09746258305965849
12;collision;;;;;
13;collision;;;;;
14;success;4.523089254855193;4.064350121921998;21.192211551999208;1.1128689997593664;0.19178508632519667
15;success;2.2125589193961916;2.145821321434661;16.193079783999565;1.0311011906233232;0.1325147130785432
16;collision;;;;;
17;collision;;;;;
18;success;1.5513657354810695;1.3510239013329366;14.60205163700084;1.148288889597344;0.09252288205237627
19;success;2.9301426244295143;2.5937873394404583;15.862359058002767;1.129677279194992;0.16351838525126935
20;success;5.754363491288787;4.079462800490884;27.67262888500045;1.4105689333890634;0.14741869366455812
21;success;0.9112393172651811;0.8600075431120427;13.41234857499876;1.0595713079070794;0.06412057801085909
22;collision;;;;;
23;collision;;;;;
24;collision;;;;;
25;success;2.216693748097025;2.073431009375476;17.46267095499934;1.069094528862429;0.11873504429640985
26;collision;;;;;
27;success;2.2833463650535193;2.128239161281698;19.673071081997477;1.0728805326927686;0.10818032184254225
28;success;1.8696370361823367;1.3838347907920447;14.543433661998279;1.351055088817532;0.0951518618610665
29;success;2.9656824455481865;2.7630794184182474;19.26317185100197;1.0733250827969039;0.14343844512161824
30;collision;;;;;
31;success;0.9372044652824786;0.903613638110643;14.212775331998273;1.0371738824593997;0.06357756433933566
32;success;0.524431528144031;0.7128164217632719;13.944030832997669;0.735717517347259;0.05111982541493216
33;collision;;;;;
34;collision;;;;;
35;success;2.134029819029771;2.039162552476694;15.993047396001202;1.0465226602155158;0.12750306442451692
36;collision;;;;;
37;success;2.0131180014518213;1.8875670687398183;20.263798370000586;1.0665146869699436;0.09314971627107459
38;success;1.7334324447180498;1.3121475811984995;16.26228923400049;1.321065152697804;0.0806865234234746
39;collision;;;;;
40;collision;;;;;
41;collision;;;;;
42;collision;;;;;
44;collision;;;;;
46;success;1.078123587368935;1.1596396494029693;12.43683877500007;0.9297056960099612;0.09324231586357948
47;collision;;;;;
48;success;1.6263806273988306;1.4278674071308342;20.093268804001127;1.1390277691588255;0.07106197707595024
49;success;3.381615648256689;2.750524902892812;16.133767474002525;1.229443748973201;0.17048249315139358
50;collision;;;;;
51;success;2.8913715275850085;1.011908083285666;12.862966005999624;2.8573460132828705;0.07866833223485824
52;collision;;;;;
53;collision;;;;;
54;collision;;;;;
55;success;2.380736911074056;2.2624752630450726;18.801196440999774;1.0522709131722459;0.12033677059568891
56;collision;;;;;
57;collision;;;;;
58;success;1.5760119466234503;1.3567242927849772;15.933580041000823;1.1616302258348574;0.08514874179524054
59;collision;;;;;
60;collision;;;;;
61;collision;;;;;
62;success;2.593835758999751;0.6034137874049189;12.624049211997772;4.2986020756253716;0.047798751198739026
63;collision;;;;;
64;collision;;;;;
65;success;2.1760467017846286;2.1006884817518316;19.863142303998757;1.0358731057400539;0.10575811468303939
66;collision;;;;;
67;collision;;;;;
68;success;1.3049952305544787;1.326390343557744;19.883017320000363;0.9838696707140693;0.0667097112179008
69;collision;;;;;
70;collision;;;;;
71;collision;;;;;
72;collision;;;;;
73;collision;;;;;
74;collision;;;;;
75;success;1.837997944287645;1.9483978220258928;19.512967384998774;0.9433381230002316;0.09985143641062952
76;collision;;;;;
77;collision;;;;;
78;success;1.6547878302976653;1.3291264123576794;16.0635089790012;1.245019145592261;0.08274197213667087
79;success;3.0387321705172177;2.70522257827645;16.663683732997015;1.1232836051713178;0.1623424100950521
80;collision;;;;;
81;collision;;;;;
82;collision;;;;;
83;collision;;;;;
84;success;3.3967005312217853;4.039721192036591;27.463915861000714;0.8408254851640807;0.14709195922687313
85;success;2.3353596359608013;2.252006140727942;19.53395545800231;1.0370129964236758;0.1152867449488005
86;collision;;;;;
87;collision;;;;;
88;success;1.6741158791692365;1.3712375197996889;15.132359216997429;1.2208795741045595;0.0906162416670261
89;success;2.937004381042248;2.8233558232727343;19.13225643199985;1.0402530056016022;0.1475704569038967
90;collision;;;;;
91;collision;;;;;
92;collision;;;;;
93;collision;;;;;
94;collision;;;;;
95;success;2.3255781518095393;2.217565131062247;17.933558608001476;1.0487079361207094;0.12365449487938375
96;collision;;;;;
97;success;2.4192292038599796;1.8012453710059388;19.933730226002808;1.3430869790432363;0.09036168095905509
98;success;1.7522593116092113;1.3714609949886676;15.462879553000676;1.2776588747415965;0.08869376433334025
99;success;3.3240604328465215;2.6983436741013325;14.933190471998387;1.2318892010498181;0.18069438538007446
100;success;7.169167699586651;4.364925161772413;30.012387507998938;1.6424491678284703;0.14543745180582743
101;success;1.0044161185141602;0.9788443734683586;12.19308186300259;1.026124423594726;0.08027866822074421
